Country,year,ASMR_per_100k,age,Cause of death
Cyprus,2013,82.44663398,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Cyprus,2013,18.76794116,all ages,(F) Mental & behavioural disorders
Cyprus,2013,30.73049276,all ages,(G_H) Nervous system/ eye/ ear
Cyprus,2013,349.9204033,all ages,(I) Circulatory system
Cyprus,2013,84.78648407,all ages,(J) Rrespiratory system
Cyprus,2013,36.28899811,all ages,(K) Digestive system
Cyprus,2013,5.291586127,all ages,(L) Skin & subcutaneous tissue
Cyprus,2013,4.99960775,all ages,(M) Musculoskeletal system & connective tissue  
Cyprus,2013,36.21720188,all ages,(N) Genitourinary system
Cyprus,2013,0.091380692,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Cyprus,2013,0.711078605,all ages,(P) Perinatal period
Cyprus,2013,1.155189745,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Cyprus,2013,34.82327515,all ages,(R) Abnormal-not elsewhere classified
Cyprus,2013,0,all ages,(U071) Covid19 identified
Cyprus,2013,0,all ages,(U072) Covid19 not identified
Czechia,2013,18.54012231,all ages,(A_B) Infectious & parasitic diseases
Czechia,2013,290.3395428,all ages,(C) Malignant Neoplasms
Czechia,2013,4.265697515,all ages,(D00-D48) Neoplasms
Czechia,2013,2.486240941,all ages,(D50-D89) Blood & blood-forming organs/ immune
Czechia,2013,51.8139249,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Czechia,2013,15.95818734,all ages,(F) Mental & behavioural disorders
Czechia,2013,30.48123055,all ages,(G_H) Nervous system/ eye/ ear
Czechia,2013,659.6735488,all ages,(I) Circulatory system
Czechia,2013,81.43092746,all ages,(J) Rrespiratory system
Czechia,2013,50.24827496,all ages,(K) Digestive system
Czechia,2013,1.643622612,all ages,(L) Skin & subcutaneous tissue
Czechia,2013,1.945854899,all ages,(M) Musculoskeletal system & connective tissue  
Czechia,2013,14.50249967,all ages,(N) Genitourinary system
Czechia,2013,0.009194698,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Czechia,2013,1.193419294,all ages,(P) Perinatal period
Czechia,2013,1.741826542,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Czechia,2013,11.26314468,all ages,(R) Abnormal-not elsewhere classified
Czechia,2013,0,all ages,(U071) Covid19 identified
Czechia,2013,0,all ages,(U072) Covid19 not identified
Denmark,2013,20.54770615,all ages,(A_B) Infectious & parasitic diseases
Denmark,2013,301.5796494,all ages,(C) Malignant Neoplasms
Denmark,2013,5.378161314,all ages,(D00-D48) Neoplasms
Denmark,2013,5.232773366,all ages,(D50-D89) Blood & blood-forming organs/ immune
Denmark,2013,34.64408826,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Denmark,2013,67.66047374,all ages,(F) Mental & behavioural disorders
Denmark,2013,41.93531987,all ages,(G_H) Nervous system/ eye/ ear
Denmark,2013,267.4739455,all ages,(I) Circulatory system
Denmark,2013,127.7443154,all ages,(J) Rrespiratory system
Denmark,2013,43.0035716,all ages,(K) Digestive system
Denmark,2013,1.147929076,all ages,(L) Skin & subcutaneous tissue
Denmark,2013,7.508703893,all ages,(M) Musculoskeletal system & connective tissue  
Denmark,2013,18.15572117,all ages,(N) Genitourinary system
Denmark,2013,0.034258531,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Denmark,2013,1.782748388,all ages,(P) Perinatal period
Denmark,2013,2.424721224,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Denmark,2013,88.34935764,all ages,(R) Abnormal-not elsewhere classified
Denmark,2013,0,all ages,(U071) Covid19 identified
Denmark,2013,0,all ages,(U072) Covid19 not identified
Estonia,2013,8.667585704,all ages,(A_B) Infectious & parasitic diseases
Estonia,2013,291.6191246,all ages,(C) Malignant Neoplasms
Estonia,2013,5.63588312,all ages,(D00-D48) Neoplasms
Estonia,2013,1.818861254,all ages,(D50-D89) Blood & blood-forming organs/ immune
Estonia,2013,14.01227836,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Estonia,2013,8.773665047,all ages,(F) Mental & behavioural disorders
Estonia,2013,22.55936925,all ages,(G_H) Nervous system/ eye/ ear
Estonia,2013,714.6624797,all ages,(I) Circulatory system
Estonia,2013,42.72050308,all ages,(J) Rrespiratory system
Estonia,2013,45.53472585,all ages,(K) Digestive system
Estonia,2013,1.280907987,all ages,(L) Skin & subcutaneous tissue
Estonia,2013,3.425050907,all ages,(M) Musculoskeletal system & connective tissue  
Estonia,2013,10.32977316,all ages,(N) Genitourinary system
Estonia,2013,0.07725715,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Estonia,2013,0.867812179,all ages,(P) Perinatal period
Estonia,2013,1.675583635,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Estonia,2013,29.06164372,all ages,(R) Abnormal-not elsewhere classified
Estonia,2013,0,all ages,(U071) Covid19 identified
Estonia,2013,0,all ages,(U072) Covid19 not identified
Greece,2013,9.751016636,all ages,(A_B) Infectious & parasitic diseases
Greece,2013,250.8381531,all ages,(C) Malignant Neoplasms
Greece,2013,0.108603358,all ages,(D00-D48) Neoplasms
Greece,2013,4.086128718,all ages,(D50-D89) Blood & blood-forming organs/ immune
Greece,2013,15.03477761,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Greece,2013,1.150887623,all ages,(F) Mental & behavioural disorders
Greece,2013,15.67019556,all ages,(G_H) Nervous system/ eye/ ear
Greece,2013,408.7791668,all ages,(I) Circulatory system
Greece,2013,96.51689324,all ages,(J) Rrespiratory system
Greece,2013,26.52195766,all ages,(K) Digestive system
Greece,2013,0.235074607,all ages,(L) Skin & subcutaneous tissue
Greece,2013,3.243651894,all ages,(M) Musculoskeletal system & connective tissue  
Greece,2013,18.19032227,all ages,(N) Genitourinary system
Greece,2013,0,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Greece,2013,1.479443692,all ages,(P) Perinatal period
Greece,2013,1.854387412,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Greece,2013,99.55550141,all ages,(R) Abnormal-not elsewhere classified
Greece,2013,0,all ages,(U071) Covid19 identified
Greece,2013,0,all ages,(U072) Covid19 not identified
Spain,2013,13.34093535,all ages,(A_B) Infectious & parasitic diseases
Spain,2013,239.2516163,all ages,(C) Malignant Neoplasms
Spain,2013,8.43903271,all ages,(D00-D48) Neoplasms
Spain,2013,3.57617105,all ages,(D50-D89) Blood & blood-forming organs/ immune
Spain,2013,26.44558333,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Spain,2013,36.73397589,all ages,(F) Mental & behavioural disorders
Spain,2013,45.76422142,all ages,(G_H) Nervous system/ eye/ ear
Spain,2013,255.210275,all ages,(I) Circulatory system
Spain,2013,92.23270972,all ages,(J) Rrespiratory system
Spain,2013,42.23491592,all ages,(K) Digestive system
Spain,2013,2.795356635,all ages,(L) Skin & subcutaneous tissue
Spain,2013,7.301207001,all ages,(M) Musculoskeletal system & connective tissue  
Spain,2013,25.15054262,all ages,(N) Genitourinary system
Spain,2013,0.032960522,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Spain,2013,1.502642816,all ages,(P) Perinatal period
Spain,2013,1.629633732,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Spain,2013,19.75089789,all ages,(R) Abnormal-not elsewhere classified
Spain,2013,0,all ages,(U071) Covid19 identified
Spain,2013,0,all ages,(U072) Covid19 not identified
Finland,2013,6.01326361,all ages,(A_B) Infectious & parasitic diseases
Finland,2013,223.0481992,all ages,(C) Malignant Neoplasms
Finland,2013,6.34820452,all ages,(D00-D48) Neoplasms
Finland,2013,1.312214024,all ages,(D50-D89) Blood & blood-forming organs/ immune
Finland,2013,11.77186883,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Finland,2013,48.00381941,all ages,(F) Mental & behavioural disorders
Finland,2013,140.8043805,all ages,(G_H) Nervous system/ eye/ ear
Finland,2013,387.3562601,all ages,(I) Circulatory system
Finland,2013,36.33290963,all ages,(J) Rrespiratory system
Finland,2013,45.56737612,all ages,(K) Digestive system
Finland,2013,0.47622237,all ages,(L) Skin & subcutaneous tissue
Finland,2013,4.039704974,all ages,(M) Musculoskeletal system & connective tissue  
Finland,2013,7.520442942,all ages,(N) Genitourinary system
Finland,2013,0.018690541,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Finland,2013,0.691826075,all ages,(P) Perinatal period
Finland,2013,2.909183455,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Finland,2013,7.492163503,all ages,(R) Abnormal-not elsewhere classified
Finland,2013,0,all ages,(U071) Covid19 identified
Finland,2013,0,all ages,(U072) Covid19 not identified
France,2013,16.66909143,all ages,(A_B) Infectious & parasitic diseases
France,2013,246.8040299,all ages,(C) Malignant Neoplasms
France,2013,10.71877102,all ages,(D00-D48) Neoplasms
France,2013,3.1527763,all ages,(D50-D89) Blood & blood-forming organs/ immune
France,2013,30.60199299,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
France,2013,33.35716301,all ages,(F) Mental & behavioural disorders
France,2013,52.74297942,all ages,(G_H) Nervous system/ eye/ ear
France,2013,212.641869,all ages,(I) Circulatory system
France,2013,56.27181155,all ages,(J) Rrespiratory system
France,2013,35.5595665,all ages,(K) Digestive system
France,2013,1.932287514,all ages,(L) Skin & subcutaneous tissue
France,2013,6.211698762,all ages,(M) Musculoskeletal system & connective tissue  
France,2013,13.26025854,all ages,(N) Genitourinary system
France,2013,0.071087913,all ages,"(O) Pregnancy, childbirth & the puerperium  "
France,2013,1.956651488,all ages,(P) Perinatal period
France,2013,2.306580499,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
France,2013,82.19276122,all ages,(R) Abnormal-not elsewhere classified
France,2013,0,all ages,(U071) Covid19 identified
France,2013,0,all ages,(U072) Covid19 not identified
Croatia,2013,7.995882941,all ages,(A_B) Infectious & parasitic diseases
Croatia,2013,335.9421889,all ages,(C) Malignant Neoplasms
Croatia,2013,6.097336527,all ages,(D00-D48) Neoplasms
Croatia,2013,0.562490587,all ages,(D50-D89) Blood & blood-forming organs/ immune
Croatia,2013,33.5022769,all ages,"(E) Endocrine, nutritional & metabolic diseases  "
Croatia,2013,32.87722113,all ages,(F) Mental & behavioural disorders
Croatia,2013,21.54997312,all ages,(G_H) Nervous system/ eye/ ear
Croatia,2013,695.8318206,all ages,(I) Circulatory system
Croatia,2013,57.96670577,all ages,(J) Rrespiratory system
Croatia,2013,53.99706168,all ages,(K) Digestive system
Croatia,2013,0.292515979,all ages,(L) Skin & subcutaneous tissue
Croatia,2013,2.944002428,all ages,(M) Musculoskeletal system & connective tissue  
Croatia,2013,18.6776024,all ages,(N) Genitourinary system
Croatia,2013,0.046060877,all ages,"(O) Pregnancy, childbirth & the puerperium  "
Croatia,2013,2.411034026,all ages,(P) Perinatal period
Croatia,2013,2.499140919,all ages,"(Q) Congenital malformations, deformations & chromosomal abnormalities  "
Croatia,2013,17.03632691,all ages,(R) Abnormal-not elsewhere classified
Croatia,2013,0,all ages,(U071) Covid19 identified
Croatia,2013,0,all ages,(U072) Covid19 not identified
